quarter,quarter_label,quarter_end_date,geography_type,geography_code,geography_name,state,remoteness,population_count,participant_count,funded_plan_count,participants_per_1000,funded_plans_per_1000,participant_growth_rate,funded_plan_growth_rate,mean_plan_funding,median_plan_funding,committed_supports,payment_amount,payments_per_funded_plan,payments_per_participant,payments_per_1000_population,funding_conversion_rate,unspent_committed_funding,unspent_funding_per_funded_plan,mean_plan_utilisation,benchmark_national_funded_plans_per_1000,benchmark_national_mean_plan_utilisation,benchmark_national_mean_plan_funding,benchmark_national_payments_per_funded_plan,benchmark_remoteness_funded_plans_per_1000,benchmark_remoteness_mean_plan_utilisation,benchmark_remoteness_mean_plan_funding,benchmark_remoteness_payments_per_funded_plan,funded_plans_per_1000_gap_from_national,mean_plan_utilisation_gap_from_national,mean_plan_funding_gap_from_national,payments_per_funded_plan_gap_from_national,funded_plans_per_1000_gap_from_remoteness,mean_plan_utilisation_gap_from_remoteness,mean_plan_funding_gap_from_remoteness,payments_per_funded_plan_gap_from_remoteness,active_provider_count,registered_provider_count,funded_plans_per_active_provider,participants_per_active_provider,active_providers_per_1000_funded_plans,provider_growth_rate,payment_growth_rate,plan_value_growth_rate,supply_response_gap,funding_conversion_gap,funded_plan_volume_score,funded_plan_density_score,payment_intensity_score,unspent_funding_score,utilisation_gap_score,funded_plan_coverage_gap_score,mean_plan_funding_gap_score,payment_intensity_gap_score,provider_load_score,growth_pressure_score,funding_conversion_gap_score,underfunded_advocacy_score,utilisation_barrier_score,underserviced_provider_score,business_opportunity_score,advocacy_opportunity_score,combined_opportunity_score,opportunity_rank,opportunity_segment,opportunity_reading_note,market_density_indicator_note,population_reference_year,population_method,reliability_flag
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Mallee,Mallee,VIC,Outer Regional Australia,94469.0,,3529.0,,37.35616974880649,,0.013207005455067478,71000.0,,250559000.0,160264000.0,45413.43156701615,,1696471.8584932622,0.6396257967185374,90295000.0,25586.568432983848,0.71,27.40732028960876,0.7506086859240299,84432.45028614352,60802.47507148593,32.730046154692914,0.7269261814617647,84888.12868756366,59134.059154767165,-9.948849459197724,0.04060868592402983,13432.450286143518,15389.04350446978,-4.626123594113572,0.016926181461764712,13888.128687563658,13720.627587751012,,,,,,,0.02065328841365166,0.02898550724637672,,0.36037420328146264,0.2625,0.9240506329113924,0.1,0.5,0.6125,0.25625,0.95,0.9125,,0.50625,0.8,0.7062499999999999,0.6375000000000001,0.559375,0.41187500000000005,0.634375,0.5231250000000001,31.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Mallee,Mallee,VIC,Outer Regional Australia,94469.0,,3540.0,,37.4726100625602,,0.0031170303202039396,72000.0,,254880000.0,166314000.0,46981.35593220339,,1760514.0310578074,0.6525188323917137,88566000.0,25018.64406779661,0.71,27.77839830958376,0.7514285432706143,85151.38506175322,62192.49868267691,33.11060614399949,0.7308756031764125,85664.50093088642,60376.25859645123,-9.694211752976445,0.041428543270614286,13151.385061753215,15211.142750473518,-4.36200391856071,0.02087560317641248,13664.500930886425,13394.902664247842,,,,,,,0.03775021214995267,0.014084507042253502,,0.3474811676082863,0.2625,0.9113924050632911,0.1125,0.5375,0.6,0.26875,0.95,0.8875,,0.50625,0.7875,0.7020833333333334,0.6416666666666666,0.553125,0.4214583333333334,0.6322916666666667,0.526875,32.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Mallee,Mallee,VIC,Outer Regional Australia,94469.0,,3604.0,,38.15008097894548,,0.01807909604519775,72000.0,,259488000.0,172525000.0,47870.4217536071,,1826260.466396384,0.6648669688000987,86963000.0,24129.578246392895,0.7,28.253214646769933,0.7386029448813405,85151.81887829916,62709.42778038322,33.634269269780866,0.7179683189796243,85747.48693204664,60763.24328367979,-9.89686633217554,0.038602944881340445,13151.818878299164,14839.006026776122,-4.515811709164609,0.017968318979624344,13747.486932046639,12892.821530072688,,,,,,,0.0373450220666931,0.0,,0.33513303119990134,0.2625,0.9113924050632911,0.1375,0.5,0.5625,0.26875,0.95,0.875,,0.50625,0.7625,0.6979166666666666,0.6083333333333333,0.534375,0.4085416666666667,0.6135416666666667,0.5110416666666666,35.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Maroochydore,Maroochydore,QLD,Inner Regional Australia,499995.0,12448.0,12448.0,24.896248962489626,24.896248962489626,,,84000.0,36800.0,1045632000.0,798085000.0,64113.51221079692,64113.512210796915,1596185.9618596185,0.7632560977475823,247547000.0,19886.487789203085,0.78,24.12050932082575,0.774810548394224,79559.82881407744,60116.50993792392,26.8899974718611,0.7630061336695022,76355.8163924701,56667.37290379991,-0.7757396416638755,-0.005189451605776014,-4440.171185922562,-3997.0022728730037,1.9937485093714749,-0.016993866330497837,-7644.183607529907,-7446.1393069970145,626.0,2405.0,19.884984025559106,19.884984025559106,50.289203084832906,,,,,0.2367439022524177,0.8125,0.46835443037974683,0.7375,0.4,0.1875,0.6375,0.25625,0.225,0.8375,0.50625,0.325,0.3729166666666666,0.3041666666666667,0.5104166666666666,0.5529166666666667,0.3958333333333333,0.474375,48.0,monitor,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,derived_from_local_curated_source
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Maroochydore,Maroochydore,QLD,Inner Regional Australia,499995.0,12824.0,12824.0,25.648256482564825,25.648256482564825,0.03020565552699228,0.03020565552699228,87000.0,37500.0,1115688000.0,822980000.0,64174.984404242045,64174.984404242045,1645976.4597645977,0.7376434988993339,292708000.0,22825.015595757955,0.78,24.68676284471637,0.7773084731227313,81027.36890354347,60498.99233345409,27.71623599286424,0.7648604023741618,77994.1725121406,56947.80441429636,-0.9614936378484592,-0.002691526877268728,-5972.631096456535,-3675.9920707879573,2.0679795102994127,-0.015139597625838237,-9005.827487859395,-7227.179989945682,,,,,,,0.03119341924732333,0.03571428571428581,,0.2623565011006661,0.8076923076923077,0.4675324675324675,0.7307692307692307,0.5625,0.20625,0.675,0.2625,0.23125,,0.50625,0.425,0.38958333333333334,0.3979166666666667,0.35624999999999996,0.5710256410256409,0.38125000000000003,0.4761378205128205,47.0,monitor,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Maroochydore,Maroochydore,QLD,Inner Regional Australia,499995.0,13053.0,13053.0,26.106261062610628,26.106261062610628,0.017857142857142794,0.017857142857142794,88000.0,38000.0,1148664000.0,846360000.0,64840.26660537807,64840.26660537807,1692736.9273692737,0.7368212114247509,302304000.0,23159.733394621926,0.78,25.27144981343164,0.7784608418203379,82439.3926044259,61164.480098449734,28.31985586047522,0.7685814728943384,79139.48388848934,57480.02092208034,-0.8348112491789905,-0.0015391581796620809,-5560.607395574101,-3675.786506928336,2.213594797864591,-0.011418527105661552,-8860.51611151066,-7360.245683297733,,,,,,,0.028408952829959366,0.011494252873563315,,0.2631787885752491,0.8125,0.4810126582278481,0.7125,0.525,0.2125,0.6375,0.25625,0.225,,0.50625,0.4,0.3729166666666666,0.3791666666666667,0.359375,0.5577083333333334,0.37048611111111107,0.4640972222222222,53.0,monitor,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Maroochydore,Maroochydore,QLD,Inner Regional Australia,499995.0,13478.0,13478.0,26.956269562695628,26.956269562695628,0.032559564850992206,0.032559564850992206,88000.0,38000.0,1186064000.0,868993000.0,64474.92209526636,64474.92209526636,1738003.3800338004,0.7326695692643904,317071000.0,23525.07790473364,0.75,26.153554026565185,0.7601002932313932,82459.7494204458,60716.14056683959,29.378540729741957,0.749585874550338,79082.76206451863,56908.5598208139,-0.8027155361304423,0.01010029323139321,-5540.250579554195,-3758.781528426771,2.422271167046325,-0.00041412544966206604,-8917.237935481375,-7566.362274452462,,,,,,,0.026741575688832286,0.0,,0.2673304307356096,0.8125,0.4810126582278481,0.7,0.5375,0.21875,0.6375,0.25,0.225,,0.50625,0.375,0.37083333333333335,0.3770833333333334,0.3625,0.5579166666666666,0.37013888888888896,0.4640277777777778,50.0,monitor,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Maroochydore,Maroochydore,QLD,Inner Regional Australia,499995.0,13919.0,13919.0,27.838278382783827,27.838278382783827,0.0327199881288025,0.0327199881288025,88000.0,37800.0,1224872000.0,888550000.0,63837.20094834399,63837.20094834399,1777117.771177712,0.7254227380493635,336322000.0,24162.79905165601,0.74,26.957763247112997,0.7465297732931997,82492.94748629373,60067.7940397898,30.345785307596167,0.7338446519006651,79096.43428753808,56188.57394969421,-0.8805151356708336,0.006529773293199668,-5507.052513706265,-3769.4069085541923,2.50750692481234,-0.00615534809933493,-8903.565712461917,-7648.626998649779,,,,,,,0.02250535965191891,0.0,,0.2745772619506365,0.8125,0.4810126582278481,0.7125,0.525,0.19375,0.625,0.24375,0.21875,,0.50625,0.35,0.3625,0.35625,0.35,0.5512499999999999,0.35625,0.45375,56.0,monitor,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,derived_from_local_curated_source
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Maroochydore,Maroochydore,QLD,Inner Regional Australia,499995.0,,14220.0,,28.44028440284403,,0.021625116746892825,90000.0,,1279800000.0,911428000.0,64094.79606188467,,1822874.2287422875,0.7121644006876074,368372000.0,25905.20393811533,0.74,27.40732028960876,0.7506086859240299,84432.45028614352,60802.47507148593,30.943280669707555,0.735953040708486,80949.4227901239,56650.43820079907,-1.0329641132352665,0.010608685924029828,-5567.549713856482,-3292.320990398737,2.5029962668635264,-0.004046959291514014,-9050.577209876094,-7444.357861085598,,,,,,,0.02574756625963648,0.022727272727272707,,0.28783559931239255,0.825,0.4810126582278481,0.6875,0.5625,0.2125,0.625,0.25625,0.225,,0.50625,0.3875,0.36874999999999997,0.3875,0.359375,0.564375,0.371875,0.468125,51.0,monitor,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Maroochydore,Maroochydore,QLD,Inner Regional Australia,499995.0,,14392.0,,28.784287842878427,,0.012095639943741299,91000.0,,1309672000.0,943573000.0,65562.32629238466,,1887164.8716487165,0.7204651240921391,366099000.0,25437.67370761534,0.74,27.77839830958376,0.7514285432706143,85151.38506175322,62192.49868267691,31.40646420190928,0.7357142727569568,81348.30207161774,57871.566955701484,-1.0058895332946705,0.011428543270614284,-5848.614938246785,-3369.827609707754,2.622176359030849,-0.004285727243043169,-9651.697928382258,-7690.759336683179,,,,,,,0.03526883088954924,0.011111111111111072,,0.27953487590786086,0.825,0.46835443037974683,0.7125,0.6,0.1875,0.6375,0.25,0.21875,,0.50625,0.4125,0.36874999999999997,0.39999999999999997,0.346875,0.576875,0.37187499999999996,0.474375,48.0,monitor,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
