geography_type,geography_code,geography_name,state,remoteness,parent_geography_codes,latitude,longitude,area_sqkm,population,geography_vintage,reliability_flag
ndia_service_area,Murrumbidgee,Murrumbidgee,,Outer Regional Australia,,-35.28024020611157,146.41656098452248,122238.3305,311023.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,NO usual address / Offshore (NT),NO usual address / Offshore (NT),,Migratory - Offshore - Shipping (NT),,,,0.0,,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,NO usual address / Offshore (TAS),NO usual address / Offshore (TAS),,Migratory - Offshore - Shipping (Tas.),,,,0.0,,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Nepean Blue Mountains,Nepean Blue Mountains,,Inner Regional Australia,,-33.37508728008651,150.427251757885,9123.2402,400929.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,No usual address / Offshore (NSW),No usual address / Offshore (NSW),,Migratory - Offshore - Shipping (NSW),,,,0.0,,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,No usual address / Offshore (Qld),No usual address / Offshore (Qld),,Migratory - Offshore - Shipping (Qld),,,,0.0,,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,No usual address / Offshore (SA),No usual address / Offshore (SA),,Migratory - Offshore - Shipping (SA),,,,0.0,,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,No usual address / Offshore (TAS),No usual address / Offshore (TAS),,Migratory - Offshore - Shipping (Vic.),,,,0.0,,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,No usual address / Offshore (WA),No usual address / Offshore (WA),,Migratory - Offshore - Shipping (WA),,,,0.0,,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,North East Melbourne,North East Melbourne,,Major Cities of Australia,,-37.640044936486966,145.12789780757151,1057.5846,720178.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,North East Metro,North East Metro,,Inner Regional Australia,,-31.869445614675634,116.08893287677708,2055.4524,390470.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,North Metro,North Metro,,Inner Regional Australia,,-31.655382940902133,115.72296112968485,782.2022,422742.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,North Sydney,North Sydney,,Major Cities of Australia,,-33.64164665522464,151.18430145682285,892.8913,939051.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Northern Adelaide,Northern Adelaide,,Major Cities of Australia,,-34.747244673742145,138.63356011447271,692.0167,514951.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Northern NSW,Northern NSW,,Inner Regional Australia,,-29.217193113895846,152.8139392520576,20706.4995,322698.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Other Territories,Other Territories,,Inner Regional Australia,,,,105.8806,2498.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Outer East Melbourne,Outer East Melbourne,,Major Cities of Australia,,-37.74103072704172,145.68284056356708,2643.5263,444973.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Outer Gippsland,Outer Gippsland,,Outer Regional Australia,,-38.02088724065576,147.2358408468864,31756.9247,96220.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Ovens Murray,Ovens Murray,,Inner Regional Australia,,-36.550223600723086,146.91191175872987,23778.4055,137518.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Robina,Robina,,Major Cities of Australia,,-27.920606733115953,153.34697713717605,1333.386,691230.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Rockhampton,Rockhampton,,Very Remote Australia,,-23.731959303835733,148.9465911243957,452446.2034,254611.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
